"","Gene","Pvalue.Gain.R","Diff.Gain.R","CV.Gain.R","Pvalue.Loss.R","Diff.Loss.R","CV.Loss.R","Pvalue.GainvLoss.R","Diff.GainvLoss.R","X","Pvalue.Gain","Diff.Gain","CV.Gain","Pvalue.Loss","Diff.Loss","CV.Loss","Pvalue.GainvLoss","Diff.GainvLoss","Three.Protein.Gain","Three.Protein.Loss","Three.RNA.Gain","Three.RNA.Loss"
"613","LPXN",0.518115622883105,0.0528143046274114,-0.591224966068234,0.0866206614554725,-0.183964275946944,-0.785784910097295,0.0466885901031356,0.236778580574355,4118,0.835933358694911,-0.0209757139414609,-5.96674401907565,0.270124908359633,-0.178943521491746,-2.37240037372871,0.358277890248525,0.157967807550285,"Buffering","Buffering","Buffering","Buffering"
"614","LRP1",0.0137129353762428,0.157081377517441,0.314720794306263,0.997592728960363,0.000191215650718224,0.406628966753387,0.0348827357504633,0.156890161866723,4129,0.0562071432151472,0.128107547523996,0.548377452497105,0.693715454339472,-0.0380056886076069,-2.40402333911065,0.0985519876441906,0.166113236131603,"Buffering","Buffering","Buffering","Buffering"
"615","LRPAP1",0.00114100565943438,0.283607871113489,0.348758212204294,1.58545113796834e-21,-0.512578580535729,-0.750219081930944,1.45198179744986e-12,0.796186451649218,4134,0.288202867265893,0.182585438164028,1.71600392437532,0.00012382637215316,-0.239345623589876,-0.372879273441036,0.0256418690061069,0.421931061753904,"Buffering","Buffering","Scaling","Scaling"
"616","LRRC1",0.000531097743317259,0.25378527326279,0.21384516255463,2.46927735256678e-05,-0.421701203852328,0.339707738519772,2.69175036383734e-09,0.675486477115118,4136,0.367657525894234,-0.0654311884370588,4.89763409709752,6.2247088209821e-05,-0.33915673982294,-0.226913077391503,0.00407354489062675,0.273725551385882,"Buffering","Scaling","Scaling","Scaling"
"617","LRRFIP1",0.19466179040121,0.0769126993959689,-37.6042751386588,2.52396250826552e-06,-0.340476784208189,-0.235609224949595,1.37662538708435e-06,0.417389483604158,4155,0.159541705656363,-0.0893766548762306,-0.83012141178996,0.0964443261982125,-0.116561067148141,-0.528493805138936,0.735886555200561,0.02718441227191,"Buffering","Buffering","Buffering","Scaling"
"618","LSM14A",1.23791353059598e-06,0.38543716553288,0.232589885276259,1.51725536307196e-12,-0.416887615611901,4.77922994414722,4.99854774204068e-16,0.802324781144781,4167,0.0399153567650447,0.116812360713568,0.21917329363946,0.00171500682239194,-0.196368126842885,-0.278572088712189,3.40910139310464e-05,0.313180487556453,"Buffering","Buffering","Scaling","Scaling"
"619","LSM2",2.00212872310747e-06,0.357830831151595,1.3511764100948,3.90801918833247e-13,-0.733154250745242,-0.329431764350824,1.98616624112529e-20,1.09098508189684,4169,0.412200677557754,0.0481830003941865,0.466835824349901,0.172955206589792,-0.131520057756825,-3.20947848718513,0.0833424033806706,0.179703058151012,"Buffering","Buffering","Scaling","Scaling"
"620","LSR",0.135468541044231,0.161478390022676,0.231842766524208,4.85251557859081e-06,-0.410156609977324,0.392797510299904,7.20362338842135e-06,0.571635,4177,0.102554824114758,0.149442660962498,0.902763950857617,0.000209703618626231,-0.289588766065159,-0.182348329227285,9.21625100131866e-05,0.439031427027657,"Buffering","Scaling","Buffering","Scaling"
"621","LSS",9.52329071023e-06,0.366852678013317,-0.223320299260677,1.04700037205031e-07,-0.293837666814269,-0.112342864886108,1.8601926315772e-12,0.660690344827586,4178,0.0264918028768793,0.212234615431407,0.58812669267384,0.0214472394834959,-0.141524269962241,-0.409282852276325,0.000996390579126161,0.353758885393649,"Buffering","Buffering","Scaling","Scaling"
"622","LTA4H",3.82167874353626e-08,0.388157918695976,0.384729759741627,6.32504065256813e-09,-0.476984940949458,-1.16628922857859,2.61584760392138e-17,0.865142859645435,4179,0.0833377016284168,0.112993789994378,0.355443640477832,0.000159301037591949,-0.231243580685297,-0.304970067540202,1.74806488318483e-05,0.344237370679675,"Buffering","Buffering","Scaling","Scaling"
"623","LTBP3",0.00038242115736791,0.277161972533939,0.272093228366199,0.0288353293711751,-0.182752270500023,0.492185975705333,7.82815478019254e-06,0.459914243033961,4182,0.464014473531207,-0.0722943663286869,-3.91320182909673,0.140872410083492,0.151033173119655,0.847573028049826,0.0732359736137942,-0.223327539448342,"Buffering","Anti-Scaling","Scaling","Buffering"
"624","LTBP4",0.318739371110197,0.129552513227513,2.32429537988016,0.483707996547316,-0.066869246031746,8.17443843235279,0.164230700867876,0.196421759259259,4183,0.731216244784598,0.0794882922569506,10.7949436989479,0.743858548803507,-0.0700470866121856,-6.54930556151623,0.58513304966113,0.149535378869136,"Buffering","Buffering","Buffering","Buffering"
