"","X","RNA_Name","RNA_ID","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss","Three.RNA.Gain","Three.RNA.Loss","Three.Protein.Gain","Three.Protein.Loss"
"4110",4110,"LATS1","LATS1..9113.",0.228949766946512,0.14222176830904,6.46049635612668e-16,-0.496651724930182,9.05754739412893e-06,0.638873493239222,"sp.O95835.LATS1_HUMAN",0.839965249247115,-0.0241533747284029,8.39128803346214e-05,-0.32399456786948,0.0234184888121033,0.299841193141077,"Buffering","Scaling","Buffering","Scaling"
"4380",4380,"MAP2K4","MAP2K4..6416.",1.8708012862256e-05,0.360886166924374,2.86082432599772e-10,-0.52022108319523,3.14198342591312e-15,0.881107250119604,"sp.P45985.2.MP2K4_HUMAN",0.00149263671010369,0.33761356959834,2.61123561076959e-05,-0.320099573793953,3.6753580555734e-08,0.657713143392293,"Scaling","Scaling","Scaling","Scaling"
"677",677,"ATM","ATM..472.",0.085800352051686,0.204107122099725,1.14857649908608e-05,-0.533699232184652,1.72938787771325e-06,0.737806354284377,"sp.Q13315.ATM_HUMAN",0.0107345038843181,0.254518779443745,0.00233651644374041,-0.306484595987468,5.50798463227008e-06,0.561003375431214,"Buffering","Scaling","Scaling","Scaling"
"6574",6574,"RB1","RB1..5925.",0.780314627422691,0.0518242533566529,1.54031373339713e-07,-0.532039895294619,0.00322556665280359,0.583864148651272,"sp.P06400.RB_HUMAN",0.882875019167838,0.0319271472841509,0.00154691943382813,-0.289037762156283,0.143338359796691,0.320964909440433,"Buffering","Scaling","Buffering","Scaling"
"8563",8563,"TSC1","TSC1..7248.",0.000350224678472213,0.284120981671964,3.29661905987948e-07,-0.315196473799181,2.38725392972203e-10,0.599317455471145,"sp.Q92574.TSC1_HUMAN",0.200185426667894,0.134030492512297,6.71950023305581e-05,-0.284053581628232,0.000409693287347179,0.418084074140528,"Scaling","Scaling","Buffering","Scaling"
"538",538,"ARHGAP35","ARHGAP35..2909.",0.000115543633341979,0.358157101125077,0.00168249062810881,-0.293860459406652,2.1635764226194e-08,0.652017560531728,"sp.Q9NRY4.RHG35_HUMAN",0.491783930237631,0.0602444497905387,0.00109462662593256,-0.282173949988078,0.00111692361947759,0.342418399778617,"Scaling","Scaling","Buffering","Scaling"
"8457",8457,"TRAF3","TRAF3..7187.",0.446095713161367,0.0861898034389319,0.000105539011316104,-0.311511985201626,0.00186932125560905,0.397701788640558,"sp.Q13114.TRAF3_HUMAN",0.974485169723072,-0.00398497671935712,0.000104045291905197,-0.278416578055193,0.0362175781175013,0.274431601335836,"Buffering","Scaling","Buffering","Scaling"
"4383",4383,"MAP3K1","MAP3K1..4214.",0.138340415202923,-0.229886964778892,0.105323397595404,-0.178192625200743,0.749528185144236,-0.0516943395781491,"sp.Q13233.M3K1_HUMAN",0.268813501802419,-0.230192172614768,0.05743279329042,-0.272398771597322,0.852235070918675,0.0422065989825541,"Anti-Scaling","Buffering","Anti-Scaling","Scaling"
"6556",6556,"RASA1","RASA1..5921.",0.0227297789614293,0.356787227674755,0.00268807263148906,-0.307832473602336,0.00013768448985101,0.664619701277092,"tr.E9PGC0.E9PGC0_HUMAN",0.00371832968073032,0.427202108605167,0.0034304413598488,-0.270743048826735,1.89801198083801e-05,0.697945157431901,"Scaling","Scaling","Scaling","Scaling"
"1359",1359,"CDKN2A","CDKN2A..1029.",0.549296344711179,0.410283189157404,0.651684680058897,-0.150465402848232,0.412669841111262,0.560748592005636,"sp.P42771.CD2A1_HUMAN",0.154415316451568,0.583341186311853,0.215872489927601,-0.245971969969287,0.0411949769404851,0.829313156281139,"Scaling","Buffering","Scaling","Buffering"
