"","RNA_ID","RNA_Name","RNA.Gene.Pvalue","RNA.Gene.Corr","Protein_ID","Approved_Symbol","Protein.Gene.Pvalue","Protein.Gene.Corr"
"10825","TRMT12","TRMT12..55039..y",2.17521243825575e-27,0.523205484045112,"sp.Q53H54.TYW2_HUMAN","TRMT12",0.00110061529711844,0.301816529135612
"10826","TRMT13","TRMT13..54482..y",4.48833212649628e-25,0.502554332768405,"sp.Q9NUP7.TRM13_HUMAN","TRMT13",6.35297558031035e-05,0.223022098214142
"10827","TRMT1L","TRMT1L..81627..y",2.40504622207505e-24,0.495747253890672,"sp.Q7Z2T5.TRM1L_HUMAN","TRMT1L",9.38772782858739e-14,0.374362083036805
"10828","TRMT2A","TRMT2A..27037..y",3.33167900508794e-47,0.657680987085138,"sp.Q8IZ69.TRM2A_HUMAN","TRMT2A",1.01781143392673e-32,0.565966941615453
"10829","TRMT2B","TRMT2B..79979..y",2.76088805638509e-09,0.302815370459214,"sp.Q96GJ1.TRM2_HUMAN","TRMT2B",7.38168972286973e-05,0.25351445885579
"10830","TRMT44","TRMT44..152992..y",3.86551602119663e-31,0.553922125421325,"sp.Q8IYL2.TRM44_HUMAN","TRMT44",0.039001141796998,0.249116126178226
"10831","TRMT5","TRMT5..57570..y",8.51491238680896e-36,0.588100765958903,"sp.Q32P41.TRM5_HUMAN","TRMT5",1.04360747139118e-18,0.437234219277045
"10832","TRMT6","TRMT6..51605..y",9.75867171238561e-46,0.649669642606108,"sp.Q9UJA5.TRM6_HUMAN","TRMT6",2.34933424434239e-30,0.547758777221362
"10833","TRMT61A","TRMT61A..115708..y",3.40265655543082e-23,0.484683122347168,"sp.Q96FX7.TRM61_HUMAN","TRMT61A",0.000977120652979285,0.170722225841348
"10834","TRMT61B","TRMT61B..55006..y",6.69877986084587e-23,0.481788793972371,"sp.Q9BVS5.TR61B_HUMAN","TRMT61B",2.59104290861557e-08,0.284381639754727
"10835","TRMU","TRMU..55687..y",1.50896356335031e-51,0.68005267651487,"sp.O75648.MTU1_HUMAN","TRMU",1.33091919744416e-13,0.372210002306528
"10836","TRNAU1AP","TRNAU1AP..54952..y",6.97544393767025e-27,0.518809103920795,"sp.Q9NX07.TSAP1_HUMAN","TRNAU1AP",0.0026048782179266,0.156096035163782
"10837","TRNT1","TRNT1..51095..y",2.49674195311286e-41,0.624041051008523,"sp.Q96Q11.TRNT1_HUMAN","TRNT1",1.15728134970411e-21,0.469303404696975
"10838","TRO","TRO..7216..y",0.373988782424289,0.0463502806794046,"sp.Q12816.TROP_HUMAN","TRO",0.001910879497401,0.181836857101867
"10839","TROAP","TROAP..10024..y",4.99968282606467e-17,0.417358488606572,"sp.Q12815.TROAP_HUMAN","TROAP",0.0593621155342413,0.13597366368455
"10840","TROVE2","TROVE2..6738..y",1.61347946449564e-25,0.506629375481675,"tr.Q5LJA0.Q5LJA0_HUMAN",NA,6.23093992951474e-19,0.439787266471461
"10841","TROVE2","TROVE2..6738..y",1.61347946449564e-25,0.506629375481675,"tr.G5E9R9.G5E9R9_HUMAN",NA,1.13642185056845e-17,0.460416637053832
"10842","TRPC1","TRPC1..7220..y",0.410216628272828,0.0429379133232883,"sp.P48995.TRPC1_HUMAN","TRPC1",0.391039458838452,-0.0644950950041871
"10843","TRPC4","TRPC4..7223..y",0.0770728396986343,-0.0920264954128809,"sp.Q9UBN4.5.TRPC4_HUMAN",NA,0.430932007124094,-0.053612702173604
"10844","TRPC4AP","TRPC4AP..26133..y",4.01824237201899e-37,0.597139924355714,"sp.Q8TEL6.TP4AP_HUMAN","TRPC4AP",0.0100100915683413,0.198796566252908
"10845","TRPC6","TRPC6..7225..y",0.556563247773528,-0.0306628306979028,"sp.Q9Y210.TRPC6_HUMAN","TRPC6",0.671084540791209,-0.0591216905180698
"10846","TRPM2","TRPM2..7226..y",0.179984094230835,0.0698562708687926,"sp.O94759.TRPM2_HUMAN","TRPM2",0.801940967466536,0.0227532528800227
"10847","TRPM4","TRPM4..54795..y",3.83259336808933e-07,0.260263563492797,"sp.Q8TD43.TRPM4_HUMAN","TRPM4",0.000180927600053024,0.200840333699761
"10848","TRPM6","TRPM6..140803..y",0.563558088224992,0.0301212613172906,"sp.Q9BX84.TRPM6_HUMAN","TRPM6",0.999344652807439,8.40478809147138e-05
"10849","TRPM7","TRPM7..54822..y",3.17204070829581e-25,0.503943025781846,"sp.Q96QT4.TRPM7_HUMAN","TRPM7",2.89380388309531e-09,0.339706651339381
"10850","TRPS1","TRPS1..7227..y",1.29064227091053e-15,0.399575688285579,"sp.Q9UHF7.2.TRPS1_HUMAN",NA,2.7183701559027e-14,0.381877209326995
"10851","TRPT1","TRPT1..83707..y",3.53640685768539e-18,0.431105495644606,"sp.Q86TN4.TRPT1_HUMAN","TRPT1",3.71698691081048e-07,0.263686678839553
"10852","TRPV2","TRPV2..51393..y",0.171116980199108,0.0713020227028225,"sp.Q9Y5S1.TRPV2_HUMAN","TRPV2",0.503408651840456,0.0372476255461563
