"","RNA_Name","RNA_ID","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss","Three.RNA.Gain","Three.RNA.Loss","Three.Protein.Gain","Three.Protein.Loss"
"2089","MRPS31","MRPS31",7.14287698708884e-05,0.410904183106654,1.07418558582135e-13,-0.429210371373463,1.18137523866812e-11,0.840114554480117,"sp.Q92665.RT31_HUMAN",0.714617154345685,0.0345489919647883,0.00385897900171925,-0.160818069327956,0.0478339453726253,0.195367061292744,"Scaling","Scaling","Buffering","Buffering"
"2090","MRPS35","MRPS35",2.99289645944052e-07,0.432654686291097,0.00078793732198078,-0.319693260117197,1.91952954813663e-10,0.752347946408294,"sp.P82673.RT35_HUMAN",0.419773591524826,0.0566531883359135,0.419472032427215,-0.0526600938345696,0.195084260987798,0.109313282170483,"Scaling","Scaling","Buffering","Buffering"
"2091","MRPS36","MRPS36",3.03252892183175e-06,0.479182371625641,9.72999897796657e-09,-0.346747622754947,7.95630434193876e-12,0.825929994380588,"sp.P82909.RT36_HUMAN",0.177711537606553,0.136290620577584,0.234677001787515,-0.0801791225057792,0.0531818089155724,0.216469743083363,"Scaling","Scaling","Buffering","Buffering"
"2092","MRPS5","MRPS5",0.020035414924252,0.207678699398261,0.167467913562844,-0.0989542769342018,0.00453439822504262,0.306632976332462,"sp.P82675.RT05_HUMAN",0.196079592825042,0.123028086509813,0.598222939170447,0.0381081197566842,0.432751281394635,0.0849199667531286,"Buffering","Buffering","Buffering","Buffering"
"2093","MRPS6","MRPS6",0.00761205178220311,0.491008635258436,0.000861683014452763,-0.292135092761439,7.81521338796863e-05,0.783143728019875,"sp.P82932.RT06_HUMAN",0.781193984209068,0.0259789364676304,0.128947406926584,-0.0897246659656746,0.245211612864005,0.115703602433305,"Scaling","Scaling","Buffering","Buffering"
"2094","MRPS7","MRPS7",1.75793766884405e-09,0.454520079490252,0.0202850421976269,-0.190248071272148,9.48337277586267e-10,0.6447681507624,"sp.Q9Y2R9.RT07_HUMAN",0.440616030823154,0.0494228277998162,0.545104313158795,-0.050566692023838,0.305184612376181,0.0999895198236542,"Scaling","Buffering","Buffering","Buffering"
"2095","MRPS9","MRPS9",0.170062297470165,0.103300770891831,0.116753157600429,-0.137632107246284,0.0243399762342242,0.240932878138115,"sp.P82933.RT09_HUMAN",0.578795503838148,0.0494338678378729,0.531086109053951,-0.0378713028645686,0.38387023521851,0.0873051707024415,"Buffering","Buffering","Buffering","Buffering"
"2096","MRRF","MRRF",0.0306843418210561,0.194859341203258,3.30848190304914e-10,-0.440650624015478,5.71991931145805e-09,0.635509965218736,"sp.Q96E11.RRFM_HUMAN",0.0104742041749658,0.250812998747425,0.00145494473898771,-0.2420208783482,1.01089275873451e-05,0.492833877095624,"Buffering","Scaling","Scaling","Buffering"
"2097","MRTO4","MRTO4",0.194690996211203,0.195479548554965,0.000799847800243176,-0.231500657648407,0.0083419269139715,0.426980206203372,"sp.Q9UKD2.MRT4_HUMAN",0.368727186712859,-0.0746348074867436,0.00533891816040377,-0.154808206906741,0.375725231871383,0.0801733994199973,"Buffering","Buffering","Buffering","Buffering"
"2098","MSH2","MSH2",0.0670174092313417,0.180950643335945,0.0250741325381363,-0.255330822787442,0.0018941151851473,0.436281466123387,"sp.P43246.MSH2_HUMAN",0.00230109733793773,0.221369929663092,0.143095751642319,-0.144198983085075,0.00117596966032312,0.365568912748167,"Buffering","Scaling","Buffering","Buffering"
"2099","MSH3","MSH3",0.000307202618154585,0.307584282024142,0.00040243716918088,-0.210562469555655,8.89986864321393e-08,0.518146751579797,"sp.P20585.MSH3_HUMAN",0.000125310815787085,0.266742519979067,0.324040679821953,-0.0618622081663927,1.89114646628904e-05,0.32860472814546,"Scaling","Buffering","Scaling","Buffering"
"2100","MSH6","MSH6",0.0646668686905538,0.197352222450111,0.0742987590238079,-0.201524280144321,0.00356812210187752,0.398876502594432,"sp.P52701.MSH6_HUMAN",0.00086763066220443,0.290945365477299,0.164271066785022,-0.143378111462521,0.000441999714946009,0.434323476939821,"Buffering","Buffering","Scaling","Buffering"
"2101","MSI1","MSI1",0.195493696763094,0.362747965136172,0.844488473301679,-0.0286804960120944,0.192229536023341,0.391428461148267,"sp.O43347.MSI1H_HUMAN",0.0498191803923076,0.543530835233859,0.593008570674588,0.086699397868503,0.128914055531599,0.456831437365356,"Scaling","Buffering","Scaling","Buffering"
"2102","MSI2","MSI2",0.110790824387926,0.239667227090266,0.0641211559579929,-0.321916724136235,0.00737118281268226,0.561583951226502,"tr.B4DHE8.B4DHE8_HUMAN",0.0227705452965059,0.277338552945537,0.651978487298737,-0.0639322951655717,0.04444200001015,0.341270848111109,"Buffering","Scaling","Scaling","Buffering"
"2103","MSRA","MSRA",0.00169020181406211,0.657171388492176,0.000145921245892461,-0.416882909137667,1.79122063297797e-06,1.07405429762984,"sp.Q9UJ68.MSRA_HUMAN",0.0482133097888582,0.435816813578344,4.8229925095727e-05,-0.430974739219618,0.000225432915898175,0.866791552797962,"Scaling","Scaling","Scaling","Scaling"
"2104","MSRB2","MSRB2",0.0135076446168392,0.455701380217816,2.02457399858658e-05,-0.418748806102064,2.07739227580155e-05,0.874450186319879,"sp.Q9Y3D2.MSRB2_HUMAN",0.0213963558394877,0.489992787886075,0.00387231943962052,-0.252899483856585,0.000857193870055786,0.74289227174266,"Scaling","Scaling","Scaling","Scaling"
"2105","MSTO1","MSTO1",5.13633298410672e-05,0.277820970081404,0.000459038479542001,-0.400716187461661,1.28508450029861e-07,0.678537157543065,"sp.Q9BUK6.MSTO1_HUMAN",0.0203023335316831,0.22005035463909,0.003353338079254,-0.371070580762327,6.27293514566902e-05,0.591120935401417,"Scaling","Scaling","Buffering","Scaling"
"2106","MT1G","MT1G",0.223974521887441,-0.421077943555466,0.112669384802639,-0.416098142897265,0.989108036126311,-0.00497980065820136,"sp.P13640.MT1G_HUMAN",0.229752665982103,0.396578971837203,0.111887339057639,-0.303862958359919,0.0490205840768503,0.700441930197122,"Anti-Scaling","Scaling","Scaling","Scaling"
"2107","MT2A","MT2A",0.15558770401892,0.593536549227921,0.90494633063655,0.0348666964504414,0.224402115516478,0.55866985277748,"sp.P02795.MT2_HUMAN",0.596618534587429,0.307484748716602,0.967997471766384,-0.0127309943422257,0.604891351424133,0.320215743058828,"Scaling","Buffering","Scaling","Buffering"
"2108","MTA1","MTA1",0.0516389198739034,0.243499802598271,2.6766188567127e-13,-0.634139793969823,5.53502562603585e-09,0.877639596568095,"sp.Q13330.3.MTA1_HUMAN",0.569750772629131,0.111618719835608,0.000136306048416626,-0.627731055551815,0.00167629648499325,0.739349775387423,"Buffering","Scaling","Buffering","Scaling"
