"","RNA_Name","RNA_ID","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss","Three.RNA.Gain","Three.RNA.Loss","Three.Protein.Gain","Three.Protein.Loss"
"3306","GSTZ1","GSTZ1",0.0052950581393439,0.440954207873197,9.5778769860874e-08,-0.446917491026084,3.2863392062838e-07,0.88787169889928,"tr.G3V4T6.G3V4T6_HUMAN",0.0357518184605387,0.517170560829921,0.257718449787519,-0.261698328236916,0.00237377972180898,0.778868889066837,"Scaling","Scaling","Scaling","Scaling"
"3307","GTF2A1","GTF2A1",0.103730612731047,0.164972984015423,1.38703581976758e-06,-0.349376859957604,1.24113836678983e-05,0.514349843973027,"sp.P52655.TF2AA_HUMAN",0.347317881655389,-0.0779909599366276,4.72409316216904e-05,-0.276092153706378,0.038682316666014,0.19810119376975,"Buffering","Scaling","Buffering","Scaling"
"3308","GTF2A2","GTF2A2",0.0013467792422888,0.465114941925635,7.75002171548097e-08,-0.346289062331699,1.74552023856014e-06,0.811404004257334,"sp.P52657.T2AG_HUMAN",0.420693596068824,-0.111555621776295,0.80831146320989,-0.0137443520735246,0.486105114809913,-0.09781126970277,"Scaling","Scaling","Anti-Scaling","Buffering"
"3309","GTF2B","GTF2B",9.15092716137064e-05,0.337815366913267,1.26748527747031e-09,-0.372091778369212,2.72065176880804e-11,0.709907145282479,"sp.Q00403.TF2B_HUMAN",0.0142502561042941,0.211260634580379,0.0059351964326244,-0.160355552474156,0.000148535592455279,0.371616187054535,"Scaling","Scaling","Buffering","Buffering"
"3310","GTF2E1","GTF2E1",0.177652744818301,0.0837264102745943,0.0049709223318972,-0.283598126153425,0.00111865804064128,0.367324536428019,"sp.P29083.T2EA_HUMAN",0.342750442467212,-0.0727475092996855,0.206672523609786,-0.119241198101175,0.680205878863152,0.0464936888014894,"Buffering","Scaling","Buffering","Buffering"
"3311","GTF2E2","GTF2E2",0.000224059109839902,0.431652616463873,3.32207326115449e-20,-0.563106992065291,1.00329948272974e-11,0.994759608529163,"sp.P29084.T2EB_HUMAN",0.152756424703639,0.167598117527296,5.47328122044638e-11,-0.399737763059135,1.21921023571998e-05,0.567335880586432,"Scaling","Scaling","Buffering","Scaling"
"3312","GTF2F1","GTF2F1",0.00715837731760472,0.33134150189895,1.21140854735457e-11,-0.368472665714766,2.64827931511482e-06,0.699814167613716,"sp.P35269.T2FA_HUMAN",0.454234915357739,-0.148789346854303,0.00284953857689759,-0.176644253903702,0.888629527814945,0.0278549070493992,"Scaling","Scaling","Anti-Scaling","Buffering"
"3313","GTF2F2","GTF2F2",0.000250557486899819,0.342248418983123,2.75967237506529e-06,-0.301289660929595,1.21829176203845e-09,0.643538079912718,"sp.P13984.T2FB_HUMAN",0.0618547679718357,0.153925759051899,0.00014778575764191,-0.226109981391572,1.27528648094457e-05,0.380035740443471,"Scaling","Scaling","Buffering","Buffering"
"3314","GTF2H1","GTF2H1",0.000306076049959081,0.324604527549422,1.50936134901518e-11,-0.441027241691564,7.92879985365999e-12,0.765631769240986,"sp.P32780.TF2H1_HUMAN",0.000250957590847427,0.325925254293654,0.00442140780204755,-0.17421592773575,5.88952375104007e-07,0.500141182029403,"Scaling","Scaling","Scaling","Buffering"
"3315","GTF2H2","GTF2H2",0.000473268885751022,0.542916510770409,0.000241778749644,-0.435759066393698,9.14494838836074e-08,0.978675577164107,"sp.Q13888.TF2H2_HUMAN",0.988185889565773,0.00124812108596494,0.86660756287354,0.00989502919669263,0.926416598361237,-0.00864690811072769,"Scaling","Scaling","Buffering","Buffering"
