"","RNA_Name","RNA_ID","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss","Three.RNA.Gain","Three.RNA.Loss","Three.Protein.Gain","Three.Protein.Loss"
"1330","SMCHD1","SMCHD1",0.0206929113410135,0.547108863991755,0.293240320040217,-0.138826655468875,0.00583358998925073,0.68593551946063,"sp.A6NHR9.SMHD1_HUMAN",0.232126825322991,0.264161318300468,0.206024539336772,-0.215917439843384,0.0276076815073241,0.480078758143852,"Scaling","Buffering","Scaling","Buffering"
"1331","SMG6","SMG6",0.31543769892955,0.215918180996279,0.0506090618097649,-0.312925248591359,0.019186265068525,0.528843429587638,"sp.Q86US8.EST1A_HUMAN",0.260784510611345,0.201785417057099,0.0530022392549167,-0.326571810091796,0.0148164459024143,0.528357227148895,"Buffering","Scaling","Buffering","Scaling"
"1332","SMG9","SMG9",0.139590002363304,0.26932611642041,0.734638901187018,-0.0733698579640469,0.148617359051807,0.342695974384457,"sp.Q9H0W8.SMG9_HUMAN",0.245643015602295,0.190159526273916,0.475143950742367,-0.106540825267172,0.103494807363226,0.296700351541088,"Scaling","Buffering","Buffering","Buffering"
"1333","SNAP25","SNAP25",0.730565073480799,0.178401671871535,0.389913547645288,0.4292400729176,0.648518958500554,-0.250838401046065,"sp.P60880.2.SNP25_HUMAN",0.962757314602257,0.0442741000172756,0.448925285389449,-0.61180755068908,0.423410225001324,0.656081650706356,"Buffering","Anti-Scaling","Buffering","Scaling"
"1334","SNAPC4","SNAPC4",0.945660105958963,0.0101386634980143,0.0309983791838215,-0.374547425699343,0.0573662714305361,0.384686089197357,"sp.Q5SXM2.SNPC4_HUMAN",0.357365180493141,0.152770929786961,0.416031585946855,-0.152586526606381,0.155984053499119,0.305357456393342,"Buffering","Scaling","Buffering","Buffering"
"1335","SNRNP48","SNRNP48",0.830560155692734,0.0310428130217284,0.0170948113491616,-0.341216221813515,0.0424393265326206,0.372259034835244,"sp.Q6IEG0.SNR48_HUMAN",0.665866121241015,0.0817606964832472,0.249040745132837,-0.191511619919703,0.210427957461988,0.27327231640295,"Buffering","Scaling","Buffering","Buffering"
"1336","SNRNP70","SNRNP70",0.115927960174135,0.208208351470892,0.202668206443896,-0.161217879547029,0.0046262586043679,0.369426231017921,"sp.P08621.2.RU17_HUMAN",0.663664248959156,-0.0527464558145543,0.251877934514596,-0.141269894031827,0.530165190642287,0.0885234382172732,"Buffering","Buffering","Buffering","Buffering"
"1337","SNRPA","SNRPA",0.994149821632261,0.000876091604099294,0.635720447395374,-0.0628366688100002,0.629948203727829,0.0637127604140995,"sp.P09012.SNRPA_HUMAN",0.452659071008718,-0.0700624830146801,0.589941483897324,-0.0579452449763969,0.911970890790228,-0.0121172380382833,"Buffering","Buffering","Buffering","Buffering"
"1338","SNRPB","SNRPB",0.0807671281785978,0.3939190190977,0.00478700337407926,-0.491921791023369,0.000720179526161599,0.885840810121069,"sp.P14678.3.RSMB_HUMAN",0.258813551625179,0.136487582710074,0.496004207026344,0.0894360377482716,0.725881487947166,0.0470515449618023,"Scaling","Scaling","Buffering","Buffering"
"1339","SNRPB2","SNRPB2",0.000869151497623046,0.530169526517421,0.00297202014831818,-0.520785915970345,3.0988312017301e-07,1.05095544248777,"sp.P08579.RU2B_HUMAN",0.32512429917844,0.136365299848498,0.988333194951052,0.00169007834817483,0.357385624112308,0.134675221500323,"Scaling","Scaling","Buffering","Buffering"
"1340","SNRPC","SNRPC",0.0936610012251992,0.300095735643537,0.105561102964332,-0.274339291335925,0.0122912017194729,0.574435026979462,"sp.P09234.RU1C_HUMAN",0.521724629730475,0.12288258070783,0.975326069042241,-0.00425591043782259,0.526151585278304,0.127138491145653,"Scaling","Scaling","Buffering","Buffering"
"1341","SNRPD2","SNRPD2",0.00011261756003954,0.649007494285913,0.0912765944959669,-0.253741223264042,4.95562570142677e-06,0.902748717549954,"sp.P62316.SMD2_HUMAN",0.751209848248965,-0.0348054649732266,0.220620653306488,-0.137737417553631,0.416594111876733,0.102931952580404,"Scaling","Scaling","Buffering","Buffering"
"1342","SNTB1","SNTB1",0.925392568019154,0.0476986858015698,0.120647094581977,-0.829560737422596,0.0901517035845825,0.877259423224165,"sp.Q13884.SNTB1_HUMAN",0.376328438984812,-0.449162820929729,0.992538163318022,-0.00534358073196275,0.444000640669709,-0.443819240197766,"Buffering","Scaling","Anti-Scaling","Buffering"
"1343","SNTB2","SNTB2",0.0216873797760946,0.613259764526926,0.0236896333629437,-0.413123785013143,0.001248548328356,1.02638354954007,"sp.Q13425.SNTB2_HUMAN",0.339729879019625,0.254374024872617,0.846245235470287,-0.0256852888245915,0.290480583016093,0.280059313697209,"Scaling","Scaling","Scaling","Buffering"
