"","X","RNA_Name","RNA_ID","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss","Three.RNA.Gain","Three.RNA.Loss","Three.Protein.Gain","Three.Protein.Loss"
"7211",7211,"SF3B1","SF3B1..23451.",0.0011509643769389,0.25643674255298,2.08162388200133e-06,-0.308286020739685,8.33376393788583e-09,0.564722763292665,"sp.O75533.SF3B1_HUMAN",0.266826692483672,0.0846552924209321,0.49340974099155,0.0370001813697445,0.580872850187438,0.0476551110511876,"Scaling","Scaling","Buffering","Buffering"
"7678",7678,"SPOP","SPOP..8405.",0.000416021199017318,0.27421793283081,0.00739489706303546,-0.260462990446754,4.38368936915617e-06,0.534680923277564,"sp.O43791.SPOP_HUMAN",0.317962857857816,0.0907493812071223,0.478538418027297,-0.0790594041911264,0.201738572377239,0.169808785398249,"Scaling","Scaling","Buffering","Buffering"
"7615",7615,"SOS1","SOS1..6654.",0.00320779633550692,0.258984124912021,0.00822681765212884,-0.237025622872739,1.62431040043766e-05,0.49600974778476,"sp.Q07889.SOS1_HUMAN",0.311907717839544,0.0921336441839832,0.186423471317578,-0.12123279220081,0.074356878606395,0.213366436384793,"Scaling","Buffering","Buffering","Buffering"
"7206",7206,"SF1","SF1..7536.",0.647858428865678,0.0361312210976417,0.00451230094285788,-0.174699606454181,0.0149763920616646,0.210830827551823,"tr.H7C0N4.H7C0N4_HUMAN",0.31698144343281,0.0959158447834472,0.836087474010705,0.0171416278798219,0.454044995096939,0.0787742169036253,"Buffering","Buffering","Buffering","Buffering"
"5575",5575,"PCBP1","PCBP1..5093.",2.2773596440267e-05,0.268153285846592,0.0046866088990575,-0.190377842875131,1.03823733262356e-07,0.458531128721724,"sp.Q15365.PCBP1_HUMAN",0.109889419008104,0.114056167217143,0.0130084381089526,-0.183973070154309,0.00124960925302245,0.298029237371452,"Scaling","Buffering","Buffering","Buffering"
"3170",3170,"GNA13","GNA13..10672.",0.00176921818798287,0.232158928254425,2.97340773868673e-05,-0.340687944370799,5.22789626201855e-09,0.572846872625225,"sp.Q14344.GNA13_HUMAN",0.256112934921404,0.119417238312192,0.0227422983847755,-0.230182481491489,0.00913873478745497,0.349599719803681,"Buffering","Scaling","Buffering","Buffering"
"1897",1897,"CUL1","CUL1..8454.",1.83466132537612e-11,0.430405374973246,0.00266918121643273,-0.25655179748464,9.03674946714102e-12,0.686957172457886,"sp.Q13616.CUL1_HUMAN",0.0217670949845102,0.123848210776578,0.0149926496504565,-0.163452249177874,8.96530100901627e-05,0.287300459954451,"Scaling","Scaling","Buffering","Buffering"
"6342",6342,"PTPN11","PTPN11..5781.",0.0520603439894316,0.159282579659316,0.0113006508729504,-0.213982998768799,0.000686559535657848,0.373265578428115,"sp.Q06124.PTN11_HUMAN",0.22765793180924,0.124666523739642,0.000883616119004566,-0.254904877239726,0.00199021943902232,0.379571400979368,"Buffering","Buffering","Buffering","Scaling"
"8695",8695,"U2AF1","U2AF1..7307.",0.00595615606327858,0.42788681117628,0.000495356696056673,-0.26555189129473,4.22615659443045e-05,0.69343870247101,"sp.Q01081.U2AF1_HUMAN",0.152585054862794,0.129482928432063,0.765508983331882,0.0145029953378189,0.216860198555921,0.114979933094244,"Scaling","Scaling","Buffering","Buffering"
"3636",3636,"IDH1","IDH1..3417.",0.0161233947032776,0.415228150467632,0.00242769936448768,-0.52071556271899,3.86449227392525e-05,0.935943713186622,"sp.O75874.IDHC_HUMAN",0.356809072264973,0.135498746083249,0.000232419204964114,-0.463306218172957,0.000933001771965822,0.598804964256205,"Scaling","Scaling","Buffering","Scaling"
"3637",3637,"IDH2","IDH2..3418.",0.150746670113528,0.321070913535286,0.00916950268235167,-0.391176116793669,0.00440134437963336,0.712247030328955,"sp.P48735.IDHP_HUMAN",0.445804520731125,0.142927783054621,0.0817433346880311,-0.190124174058379,0.100106666388564,0.333051957113,"Scaling","Scaling","Buffering","Buffering"
"2861",2861,"FGFR2","FGFR2..2263.",0.165367467054598,0.731065986490208,0.700660637547909,-0.0978934182744262,0.136680065085045,0.828959404764634,"sp.P21802.11.FGFR2_HUMAN",0.761109865784099,0.143928486412942,0.120351136649975,0.392727192872923,0.617595528239253,-0.248798706459981,"Scaling","Buffering","Buffering","Anti-Scaling"
