"","Gene_Symbol","Protein_ID.x","Protein.Diff.Gain.RPAA","Protein.Diff.Loss.RPAA","X","RNA_ID","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID.y","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss","Three.RNA.Gain","Three.RNA.Loss","Three.Protein.Gain","Three.Protein.Loss"
"75","MTOR","mTOR",0.137780950966956,-0.0526865971483433,4869,"MTOR..2475.",0.00220724158698989,0.337928790339967,0.00203971622385082,-0.210912818631904,9.5326781221825e-06,0.548841608971871,"sp.P42345.MTOR_HUMAN",0.10497288067469,-0.125551827550228,0.0674913108270412,-0.103120480436845,0.790986903178732,-0.0224313471133833,"Scaling","Buffering","Anti-Scaling","Buffering"
"76","MYC","c-Myc",-0.0601199282311754,0.0086452419077135,4908,"MYC..4609.",0.292104998118487,0.161329410235286,0.840749095326768,0.0441343174622606,0.614117447966959,0.117195092773025,"sp.P01106.2.MYC_HUMAN",0.805647253567188,-0.0264287837069255,0.0908149573531821,0.314686682340257,0.077691294779929,-0.341115466047182,"Buffering","Buffering","Buffering","Anti-Scaling"
"77","MYH11","MYH11",-0.0474670830434782,-0.0477922086090891,4916,"MYH11..4629.",0.196573245848472,0.112788078910824,0.000342793191449363,-0.141073365478539,0.0046432058978269,0.253861444389363,"sp.P35749.2.MYH11_HUMAN",0.488430867221617,0.141295241599467,0.748092557628924,0.0334562514301046,0.608371889640064,0.107838990169362,"Buffering","Buffering","Buffering","Buffering"
"78","NF2","NF2",0.319562468593663,-0.35570334396626,5147,"NF2..4771.",0.00172704046517397,0.661888066814111,7.05309325850165e-08,-0.621124538131784,3.24552899514245e-07,1.2830126049459,"sp.P35240.MERL_HUMAN",0.153849775691498,0.221865100562752,1.10352299083418e-06,-0.48202474057639,0.000104533554669895,0.703889841139142,"Scaling","Scaling","Buffering","Scaling"
"79","NOTCH1","Notch1",0.0801340039100684,-0.177944039087475,5257,"NOTCH1..4851.",0.668256440626944,-0.0753981911325265,0.00017041588841454,-0.488633877246401,0.0327526697732532,0.413235686113875,"sp.P46531.NOTC1_HUMAN",0.358526121360676,-0.108840454671899,0.0128064483144235,-0.244403693089959,0.301662682709975,0.13556323841806,"Buffering","Scaling","Anti-Scaling","Buffering"
"80","NRAS","N-Ras",-0.00667511946094108,-0.00541557925399356,5294,"NRAS..4893.",0.000682320132627176,0.384331606559631,0.0571717958392445,-0.204993264447063,3.87300315735326e-05,0.589324871006695,"sp.P01111.RASN_HUMAN",0.0702816063228958,0.222334516662364,0.720777377345693,0.0290440399566408,0.156183704450374,0.193290476705723,"Scaling","Buffering","Buffering","Buffering"
"81","NRG1","Heregulin",0.0273244629608622,0.0437218020456336,5301,"NRG1..3084.",0.444226830789192,0.399166830142156,0.554584771859508,0.145952149596824,0.623777705568742,0.253214680545333,"sp.Q02297.2.NRG1_HUMAN",0.515717118062224,0.307876575448655,0.873690413756212,-0.0338922543664273,0.459772805370293,0.341768829815082,"Scaling","Anti-Scaling","Scaling","Buffering"
"82","PARK7","DJ-1",0.026091450966956,-0.100250725603628,5541,"PARK7..11315.",0.00857632799412245,0.278083179445195,0.0667987149092648,-0.141535030239949,0.000141237357266333,0.419618209685144,"sp.Q99497.PARK7_HUMAN",0.63348150606093,0.0691342820832013,0.266648329767839,-0.0988160315750317,0.282166598078906,0.167950313658233,"Scaling","Buffering","Buffering","Buffering"
"83","PCNA","PCNA",0.0734289567895226,-0.255095006872852,5600,"PCNA..5111.",4.34691724373647e-05,0.380992928252669,4.42003095381504e-08,-0.512028066037673,3.28466230642356e-15,0.893020994290342,"sp.P12004.PCNA_HUMAN",0.0788868194160889,0.119684380464783,0.000130790115254038,-0.280307719170952,6.74969322399836e-07,0.399992099635735,"Scaling","Scaling","Buffering","Scaling"
"84","PDCD4","PDCD4",0.222841609841828,-0.407665437402267,5620,"PDCD4..27250.",0.18494929155392,0.414432852621682,0.00087584819873283,-0.4173447304447,0.0133380822744614,0.831777583066382,"sp.Q53EL6.PDCD4_HUMAN",0.173216519096028,0.358669144689897,0.000742092044886192,-0.342569125589525,0.0126803659207438,0.701238270279423,"Scaling","Scaling","Scaling","Scaling"
